                 Q-tabell                       State Space
        Q1        Q2        Q3		   k1   k2   k3   k4   k5   k6
      0.00      1.00      0.00		    1    4   -0   -1   -0    2
      1.00      0.00      1.00		    0    1    5    0    0    0
      2.00      1.00      0.00		    1    1    0    0    0    0
      0.00      2.00      1.00		    0    1    1    0    1    0
      0.00      0.00      2.00		    1    0    1    1    0    2
      0.00      0.00      0.00		    2    1    0    1    1    0
      3.00      0.00      0.00		    0    2    1    0    1    1
      0.00      4.00      0.00		    0    0    2    1    0    1
      1.00      0.00      5.00		    0    0    0    2    1    0
      1.00      1.00      1.00		    0    0    0    0    2    1
      0.00      1.00      1.00		    1    1    0    0    0    2
      1.00      0.00      1.00		    1    1    2    0    0    0
      2.00      1.00      0.00		    1    1    1    3    0   -0
     -0.15      2.00      1.00		    0    1    1    1    4    0
      0.00      0.00      2.00		    1    0    1    1    1    5
     -0.19     -1.42     -1.46		    2    1    0    2    0    0
      0.00      0.57     -1.50		   -3    2    1    0    2    0
      0.00      1.00     -0.42		   -0   -0    2    1    0    2
      0.00      0.00      2.00		   -0   -0   56    2    1    0
      2.00      0.00      0.00		    3   -1    4   -1    2    1
      0.00      2.00      0.00		    0    4   -1   -1   -1    2
      1.00      0.00      2.00		    0    0    5    0    0    0
      2.00      1.00      0.00		    2    0    1    0    0    0
      0.00      2.00      1.00		    0    2    0    1    1    0
      0.00      0.00      2.00		    1    0    2    0    1    2
      0.00      0.00      0.00		    2    1    0    2    0    1
      3.00      0.00      0.00		    0    2    1    0    2    0
      1.00      4.00     -0.54		   -0   -0    2    1    0    2
      0.00      1.00      5.00		    0   -0   -0    2    1    0
      2.00      1.00      0.00		    0    0    0   -0    2    1
      0.00      2.00      1.00		    0    1    0    0    0    2
      1.00      0.00      2.00		    1    0    2    5    0    0
      2.00      1.00      0.00		    2    1    0    3    0    0
      0.00      2.00      1.00		    0    2    1    0    4    0
      0.00      0.00      2.00		    1    0    2    1    0    5
      0.00      0.00     -0.15		    2    1    0    2    1    1
      0.00      0.00      0.00		    0    2    1    0    2    1
      1.00      1.00      0.00		    0    0    2    1    0    2
      1.00      1.00      2.00		    0    0   -0    2    1    0
      2.00      1.00      1.00		    3   -0   -0   -0    2    1
      0.00      2.00      1.00		    1    4   -0    0    0    2
      1.00      0.00      2.00		    1    1    5   -0   -0   -0
      2.00      1.00      0.00		    3    0    0    0   -0   -0
     -0.03      2.00      1.00		    0    3    0    0    1    0
      0.00      0.00      2.00		    1    0    3    0    0    2
      0.09      0.00      0.00		    2    1    0    3    0    0
      3.00      0.00      0.00		    0    2    1    0    3    0
      0.00      4.00     -0.05		   -0    0    2    1    0    3
      0.00      0.00      5.00		    0    0    0    2    1    0
      3.00      0.00      1.00		    0    0    0    0    2    1
      0.00      3.00      0.00		    1    1    0    0    0    2
      1.00      0.00      3.00		    0    1    2    0    0    0
      2.00      1.00      0.00		    3    0    1    3    0    0
      0.00      2.00      1.00		    0    3    0    1    4    0
      0.00      0.00      2.00		    1    0    3    0    1    5
      0.00      0.00      0.00		    2    1    0    3    1    0
      0.00      0.00      0.00		    0    2    1    0    3    1
      0.00      1.00      0.00		    0    0    2    1    0    3
      1.00      0.00      2.00		    0    0    0    2    1    0
      3.00      1.00      0.00		    3    0    0    0    2    1
      0.00      3.00      1.00		    0    4    0    0    0    2
      1.00      0.00      3.00		    1    0    5    0    0    0
      2.00      1.00      0.00		    3    1    1    0    0    0
      0.00      2.00      1.00		    0    3    1    1    1    0
      0.00      0.00      2.00		    1    0    3    1    1    2
      0.00      0.00      0.00		    2    1    0    3    1    1
      3.00      0.00      0.00		    0    2    1    0    3    1
      1.00      4.00      0.00		    0    0    2    1    0    3
      1.00      1.00      5.00		    0    0    0    2    1    1
      0.00      0.00      0.00		    0    0    0    0    2    1
      1.00      0.00      0.00		    0    1    0    0    0    2
      1.00      1.00      0.00		    0    0    2    0    0    0
      2.00      1.00      1.00		    0    0    0    3    0    0
      0.00      2.00      1.00		    1    0    0    0    4    0
      0.00      0.00      2.00		    1    1    0    0    0    5
      0.00      0.00      0.00		    2    1    1    0    0    1
      0.00      0.00      0.00		    0    2    1    1    0    0
      1.00      1.00      0.00		    0    0    2    1    1    0
      0.00      1.00      2.00		    0    0    0    2    1    1
      0.00      0.00      1.00		    3    0    0    0    2    1
      1.00      0.00      0.00		    1    4    0    0    0    2
      1.00      1.00      0.00		    0    1    5    0    0    0
      2.00      1.00      1.00		    0    1    0    0    0    0
      0.00      2.00      1.00		    1    0    1    0    1    0
      0.00      0.00      2.00		    1    1    0    1    0    2
      0.00      0.00      0.00		    2    1    1    0    1    0
      3.00      0.00      0.00		    0    2    1    1    0    1
      0.00      4.00      0.00		    0    0    2    1    1    0
      1.00      0.00      5.00		    0    0    0    2    1    1
      0.00      1.00      1.00		    0    0    0    0    2    1
      1.00      0.00      1.00		    1    1    0    0    0    2
      1.00      1.00      0.00		    1    1    2    0    0    0
      2.00      1.00      1.00		    0    1    1    3    0    0
      0.00      2.00      1.00		    1    0    1    1    4    0
      0.00      0.00      2.00		    1    1    0    1    1    5
      0.27     -1.12     -0.98		    2    1    1    1    0    0
      0.00     24.41     -1.06		   -1    2    1    1    1    0
      0.00      1.00     -0.70		   -1   -1    2    1    1    1
      0.00      0.00      2.00		    8   -1   -1    2    1    1
      1.00      0.00      0.00		    3    5   -1   -1    2    1
      1.00      1.00      0.00		    0    4    0    1   -1    2
      1.00      1.00      1.00		    0    0    5   -0    0   -0
      2.00      1.00      1.00		    1    0    1    0    0    0
      0.00      2.00      1.00		    1    1    0    1    1    0
      0.00      0.00      2.00		    1    1    1    0    1    2
      0.00      0.00      0.00		    2    1    1    1    0    1
      3.00     -0.05     -0.18		   -0    2    1    1    1    0
      1.00      4.00     -0.10		   -0   -0    2    1    1    1
      0.00      1.00      5.00		   -0   -0   -0    2    1    1
      1.00      1.00      0.00		    0    0   -0   -0    2    1
      1.00      1.00      1.00		    0    1    0    0    0    2
      1.00      1.00      1.00		    1    0    2    0    0    0
      2.00      1.00      1.00		    1    1    0    3    0    0
      0.00      2.00      1.00		    1    1    1    0    4    0
      0.00      0.00      2.00		    1    1    1    1    0    5
     -0.05      0.00      0.00		    2    1    1    1    1    1
      0.00      0.00      0.00		    0    2    1    1    1    1
      1.00      1.00      0.00		    0    0    2    1    1    1
      1.00      1.00      2.00		    0    0    0    2    1    1
      1.00      1.00      1.00		    3   -0   -1   -0    2    1
      1.00      1.00      1.00		    1    4    0    0   -0    2
      1.00      1.00      1.00		    1    1    5    0    0    0
      2.00      1.00      1.00		    2    0    0    0    0    0
      0.00      2.00      1.00		    1    2    0    0    1    0
      0.00      0.00      2.00		    1    1    2    0    0    2
      0.00      0.00      0.00		    2    1    1    2    0    0
      3.00      0.00      0.00		    0    2    1    1    2    0
      0.00      4.00      0.00		    0    0    2    1    1    2
      0.00      0.00      5.00		    0    0    0    2    1    1
      2.00      0.00      1.00		    0    0    0    0    2    1
      1.00      2.00      0.00		    1    1    0    0    0    2
      1.00      1.00      2.00		    0    1    2    0    0    0
      2.00      1.00      1.00		    2    0    1    3    0    0
      0.00      2.00      1.00		    1    2    0    1    4    0
      0.00      0.00      2.00		    1    1    2    0    1    5
      0.00      0.00      0.00		    2    1    1    2    1    0
      0.00      0.00      0.00		    0    2    1    1    2    1
      0.00      1.00      0.00		    0    0    2    1    1    2
      1.00      0.00      2.00		    0    0    0    2    1    1
      2.00      1.00      0.00		    3    0    0    0    2    1
      1.00      2.00      1.00		    0    4    0    0    0    2
      1.00      1.00      2.00		    1    0    5    0    0    0
      2.00      1.00      1.00		    2    1    1    0    0    0
      0.00      2.00      1.00		    1    2    1    1    1    0
      0.00      0.00      2.00		    1    1    2    1    1    2
      0.00      0.00      0.00		    2    1    1    2    1    1
      3.00      0.00      0.00		    0    2    1    1    2    1
      1.00      4.00      0.00		    0    0    2    1    1    2
      1.00      1.00      5.00		    0    0    0    2    1    1
      3.00      0.00      0.00		    0    0    0    0    2    1
      1.00      3.00      0.00		    0    1    0    0    0    2
      1.00      1.00      3.00		    0    0    2    0    0    0
      2.00      1.00      1.00		    3    0    0    3    0    0
      0.00      2.00      1.00		    1    3    0    0    4    0
      0.00      0.00      2.00		    1    1    3    0    0    5
      0.00      0.00      0.00		    2    1    1    3    0    1
      0.00      0.00      0.00		    0    2    1    1    3    0
      1.00      1.00      0.00		    0    0    2    1    1    3
      0.00      1.00      2.00		    0    0    0    2    1    1
      3.00      0.00      1.00		    3    0    0    0    2    1
      1.00      3.00      0.00		    1    4    0    0    0    2
      1.00      1.00      3.00		    0    1    5    0    0    0
      2.00      1.00      1.00		    3    1    0    0    0    0
      0.00      2.00      1.00		    1    3    1    0    1    0
      0.00      0.00      2.00		    1    1    3    1    0    2
      0.00      0.00      0.00		    2    1    1    3    1    0
      3.00      0.00      0.00		    0    2    1    1    3    1
      0.00      4.00      0.00		    0    0    2    1    1    3
      1.00      0.00      5.00		    0    0    0    2    1    1
      3.00      1.00      1.00		    0    0    0    0    2    1
      1.00      3.00      1.00		    1    1    0    0    0    2
      1.00      1.00      3.00		    1    1    2    0    0    0
      2.00      1.00      1.00		    3    1    1    3    0    0
      0.00      2.00      1.00		    1    3    1    1    4    0
      0.00      0.00      2.00		    1    1    3    1    1    5
      0.00      0.00      0.00		    2    1    2    0    0    0
      0.00      0.00      0.00		    0    2    1    2    0    0
      0.00      1.00      0.00		    0    0    2    1    2    0
      0.00      0.00      2.00		    0    0    0    2    1    2
      0.00      0.00      0.00		    3    0    0    0    2    1
      2.00      0.00      0.00		    0    4    0    0    0    2
      1.00      2.00      0.00		    0    0    5    0    0    0
      2.00      1.00      2.00		    0    0    1    0    0    0
      0.00      2.00      1.00		    2    0    0    1    1    0
      0.00      0.00      2.00		    1    2    0    0    1    2
      0.00      0.00      0.00		    2    1    2    0    0    1
      3.00      0.00      0.00		    0    2    1    2    0    0
      1.00      4.00      0.00		    0    0    2    1    2    0
      0.00      1.00      5.00		    0    0    0    2    1    2
      0.00      1.00      0.00		    0    0    0    0    2    1
      2.00      0.00      1.00		    0    1    0    0    0    2
      1.00      2.00      0.00		    1    0    2    0    0    0
      2.00      1.00      2.00		    0    1    0    3    0    0
      0.00      2.00      1.00		    2    0    1    0    4    0
      0.00      0.00      2.00		    1    2    0    1    0    5
      0.00      0.00      0.00		    2    1    2    0    1    1
      0.00      0.00      0.00		    0    2    1    2    0    1
      1.00      1.00      0.00		    0    0    2    1    2    0
      1.00      1.00      2.00		    0    0    0    2    1    2
      0.00      1.00      1.00		    3    0    0    0    2    1
      2.00      0.00      1.00		    1    4    0    0    0    2
      1.00      2.00      0.00		    1    1    5    0    0    0
      2.00      1.00      2.00		    1    0    0    0    0    0
      0.00      2.00      1.00		    2    1    0    0    1    0
      0.00      0.00      2.00		    1    2    1    0    0    2
      0.00      0.00      0.00		    2    1    2    1    0    0
      3.00      0.00      0.00		    0    2    1    2    1    0
      0.00      4.00      0.00		    0    0    2    1    2    1
      0.00      0.00      5.00		    0    0    0    2    1    2
      1.00      0.00      1.00		    0    0    0    0    2    1
      2.00      1.00      0.00		    1    1    0    0    0    2
      1.00      2.00      1.00		    0    1    2    0    0    0
      2.00      1.00      2.00		    1    0    1    3    0    0
      0.00      2.00      1.00		    2    1    0    1    4    0
      0.00      0.00      2.00		    1    2    1    0    1    5
      0.00      0.00      0.00		    2    1    2    1    1    0
      0.00      0.00      0.00		    0    2    1    2    1    1
      0.00      1.00      0.00		    0    0    2    1    2    1
      1.00      0.00      2.00		    0    0    0    2    1    2
      1.00      1.00      0.00		    3    0    0    0    2    1
      2.00      1.00      1.00		    0    4    0    0    0    2
      1.00      2.00      1.00		    1    0    5    0    0    0
      2.00      1.00      2.00		    1    1    1    0    0    0
      0.00      2.00      1.00		    2    1    1    1    1    0
      0.00      0.00      2.00		    1    2    1    1    1    2
      0.00      0.00      0.00		    2    1    2    1    1    1
      3.00      0.00      0.00		    0    2    1    2    1    1
      1.00      4.00      0.00		    0    0    2    1    2    1
      1.00      1.00      5.00		   -3   -2    0    2    1    2
      2.00      0.00      0.00		    0    1   -7   -7    2    1
      2.00      2.00      0.00		    0    1   -3   -2    1    2
      1.00      2.00      2.00		    0    0    2    1   -2   -2
      2.00      1.00      2.00		    2    0    0    3   -6   -6
     -1.14      2.00      1.00		    2    2    0    0    4   -3
     -4.03     -0.93      2.00		    1    2    2    0    0    5
      0.83     -0.67     -0.55		    2    1    2    2    0    1
      0.00      6.89     -0.14		   -0    2    1    2    2    0
      1.00      1.00      0.00		    0    0    2    1    2    2
      0.00      1.00      2.00		    0    0    0    2    1    2
      2.00      0.00      1.00		    3   12   -1   -1    2    1
      2.00      2.00      0.00		    1    4   -2   -1    1    2
      1.00      2.00      2.00		    0    1    5   -1   -0   -1
      2.00      1.00      2.00		    2    1    0    0   -1   -1
     -0.25      2.00      1.00		    2    2    1    0    1   -0
     -0.24     -0.24      2.00		    1    2    2    1    0    2
      2.98     -0.45     -0.34		    2    1    2    2    1    0
      3.00     -0.43      0.25		   -0    2    1    2    2    1
      0.00      4.00     -0.10		   -1   -0    2    1    2    2
      1.00      0.00      5.00		   -0   -1   -1    2    1    2
      2.00      1.00      1.00		    0    0    0   -0    2    1
      2.00      2.00      1.00		    1    1   -1   -1    0    2
      1.00      2.00      2.00		    1    1    2   -1   -2    5
      2.00      1.00      2.00		    2    1    1    3   -1   -1
      7.77      2.00      1.00		    2    2    1    1    4   -1
     -0.66     -0.90      2.00		    1    2    2    1    1    5
     -0.62     -0.33     -0.69		    2    1    2    3    0    0
      0.00      2.73     -0.18		   -0    2    1    2    3    0
      0.00      1.00      0.00		    0    0    2    1    2    3
      0.00      0.00      2.00		   -1   -1   51    2    1    2
      3.00      0.00      0.00		    3   -0   -0   -0    2    1
      2.00      3.00      0.00		    0    4   -0   -1   -0    2
      1.00      2.00      3.00		    0    0    5   -0   -0   -0
      2.00      1.00      2.00		    3    0    1    0   -0   -0
     -0.15      2.00      1.00		    2    3    0    1    1    0
      0.00      0.00      2.00		    1    2    3    0    1    2
      0.00      0.00      0.00		    2    1    2    3    0    1
      3.00     -0.03     -0.15		    0    2    1    2    3    0
      1.00      4.00      0.00		   -0   -0    2    1    2    3
      0.00      1.00      5.00		    0    0    0    2    1    2
      3.00      1.00      0.00		    0    0    0    0    2    1
      2.00      3.00      1.00		    0    1    0    0    0    2
      1.00      2.00      3.00		    1    0    2    0    0    0
      2.00      1.00      2.00		    3    1    0    3    0    0
      0.00      2.00      1.00		    2    3    1    0    4    0
      0.00      0.00      2.00		    1    2    3    1    0    5
      0.00      0.00      0.00		    2    1    2    3    1    1
      0.00      0.00      0.00		    0    2    1    2    3    1
      1.00      1.00      0.00		    0    0    2    1    2    3
      1.00      1.00      2.00		    0    0    0    2    1    2
      3.00      1.00      1.00		    3    0    0    0    2    1
      2.00      3.00      1.00		    1    4    0    0    0    2
      1.00      2.00      3.00		    1    1    5    0    0    0
      2.00      1.00      3.00		    0    0    0    0    0    0
      0.00      2.00      1.00		    3    0    0    0    1    0
      0.00      0.00      2.00		    1    3    0    0    0    2
      0.00      0.00      0.00		    2    1    3    0    0    0
      3.00      0.00      0.00		    0    2    1    3    0    0
      0.00      4.00      0.00		    0    0    2    1    3    0
      0.00      0.00      5.00		    0    0    0    2    1    3
      0.00      0.00      1.00		    0    0    0    0    2    1
      3.00      0.00      0.00		    1    1    0    0    0    2
      1.00      3.00      0.00		    0    1    2    0    0    0
      2.00      1.00      3.00		    0    0    1    3    0    0
      0.00      2.00      1.00		    3    0    0    1    4    0
      0.00      0.00      2.00		    1    3    0    0    1    5
      0.00      0.00      0.00		    2    1    3    0    1    0
      0.00      0.00      0.00		    0    2    1    3    0    1
      0.00      1.00      0.00		    0    0    2    1    3    0
      1.00      0.00      2.00		    0    0    0    2    1    3
      0.00      1.00      0.00		    3    0    0    0    2    1
      3.00      0.00      1.00		    0    4    0    0    0    2
      1.00      3.00      0.00		    1    0    5    0    0    0
      2.00      1.00      3.00		    0    1    1    0    0    0
      0.00      2.00      1.00		    3    0    1    1    1    0
      0.00      0.00      2.00		    1    3    0    1    1    2
      0.00      0.00      0.00		    2    1    3    0    1    1
      3.00      0.00      0.00		    0    2    1    3    0    1
      1.00      4.00      0.00		    0    0    2    1    3    0
      1.00      1.00      5.00		   -1   -1   -1    2    1    3
      1.00      0.00      0.00		    0    0   -1   -1    2    1
      3.00      1.00      0.00		    0    1    8   -1   -1    2
      1.00      3.00      1.00		    0    0    2    5   -1   -1
      2.00      1.00      3.00		    1    0    0    3   -0   -1
     -0.60      2.00      1.00		    3    1    0    0    4   -0
     -0.42      0.00      2.00		    1    3    1    0    0    5
      0.00      0.00      0.00		    2    1    3    1    0    1
      0.00      0.00      0.00		    0    2    1    3    1    0
      1.00      1.00      0.00		    0    0    2    1    3    1
      0.00      1.00      2.00		    0    0    0    2    1    3
      1.00      0.00      1.00		    3    0    0    0    2    1
      3.00      1.00      0.00		    1    4    0    0    0    2
      1.00      3.00      1.00		    0    1    5    0    0    0
      2.00      1.00      3.00		    1    1    0    0    0   -0
      0.00      2.00      1.00		    3    1    1    0    1    0
      0.00      0.00      2.00		    1    3    1    1    0    2
      0.00      0.00      0.00		    2    1    3    1    1    0
      3.00      0.00      0.00		    0    2    1    3    1    1
      0.00      4.00      0.00		    0    0    2    1    3    1
      1.00      0.00      5.00		    0    0    0    2    1    3
      1.00      1.00      1.00		    0    0    0    0    2    1
      3.00      1.00      1.00		    1    1    0    0    0    2
      1.00      3.00      1.00		    1    1    2    0    0    0
      2.00      1.00      3.00		    1    1    1    3    0    0
      0.00      2.00      1.00		    3    1    1    1    4    0
      0.00      0.00      2.00		    1    3    1    1    1    5
     -0.83     -0.92      0.86		    2    1    3    2    0    0
      0.00     -1.31     -1.18		    1    2    1    3    2    0
      0.00      1.00      0.20		   -0   -0    2    1    3    2
      0.00      0.00      2.00		   -0    1   -0    2    1    3
      2.00      0.00      0.00		    3    0   28    0    2    1
      3.00      2.00      0.00		    0    4   -0   -1   -0    2
      1.00      3.00      2.00		    0    0    5    0    0    0
      2.00      1.00      3.00		    2    0    1    0    0    0
      0.00      2.00      1.00		    3    2    0    1    1    0
      0.00      0.00      2.00		    1    3    2    0    1    2
      0.00      0.00      0.00		    2    1    3    2    0    1
      3.00     -0.05     -0.22		    0    2    1    3    2    0
      1.00      4.00     -0.63		   -0   -0    2    1    3    2
      0.00      1.00      5.00		    0    0    0    2    1    3
      2.00      1.00      0.00		    0    0   -0   -0    2    1
      3.00      2.00      1.00		    0    1    0    2    0    2
      1.00      3.00      2.00		    1    0    2    0    0    0
      2.00      1.00      3.00		    2    1    0    3    0    0
      0.00      2.00      1.00		    3    2    1    0    4    0
     -0.15      0.00      2.00		    1    3    2    1    0    5
      0.00      0.00      0.00		    2    1    3    2    1    1
      0.00      0.00      0.00		    0    2    1    3    2    1
      1.00      1.00      0.00		    0    0    2    1    3    2
      1.00      1.00      2.00		    0    0    0    2    1    3
      2.00      1.00      1.00		    3    0    0   -0    2    1
      3.00      2.00      1.00		    1    4   -0   -0   -0    2
      1.00      3.00      2.00		    1    1    5    0    0    0
      2.00      1.00      3.00		    3    0    0    0    0   -0
     -0.31      2.00      1.00		    3    3    0    0    1    0
      0.00     -0.18      2.00		    1    3    3    0    0    2
      0.00      0.00      0.00		    2    1    3    3    0    0
      3.00      0.00      0.00		    0    2    1    3    3    0
      0.00      4.00      0.00		    0   -0    2    1    3    3
      0.00      0.00      5.00		    0    0    0    2    1    3
      3.00      0.00      1.00		    0    0    0    0    2    1
      3.00      3.00      0.00		    1    1    0    0    0    2
      1.00      3.00      3.00		    0    1    2    0    0    0
      2.00      1.00      3.00		    3    0    1    3    0    0
      0.00      2.00      1.00		    3    3    0    1    4    0
      0.00      0.00      2.00		    1    3    3    0    1    5
      0.00      0.00      0.00		    2    1    3    3    1    0
      0.00      0.00      0.00		    0    2    1    3    3    1
      0.00      1.00      0.00		    0    0    2    1    3    3
      1.00      0.00      2.00		    0    0    0    2    1    3
      3.00      1.00      0.00		    3    0    0    0    2    1
      3.00      3.00      1.00		    0    4    0    0    0    2
      1.00      3.00      3.00		    1    0    5    0    0    0
      2.00      1.00      3.00		    3    1    1    0    0    0
      0.00      2.00      1.00		    3    3    1    1    1    0
      0.00      0.00      2.00		    1    3    3    1    1    2
      0.00      0.00      0.00		    2    1    3    3    1    1
      3.00      0.00      0.00		    0    2    1    3    3    1
      1.00      4.00      0.00		    0    0    2    1    3    3
      1.00      1.00      5.00		   -0   -0   -0    2    2    0
      0.00      0.00      0.00		    0   -0   -0   -0    2    2
      0.00      0.00      0.00		    0    1    0    0    0    2
      2.00      0.00      0.00		    0    0    2    0    0    0
      2.00      2.00      0.00		    0    0    0    3   -1   -1
     -0.72      2.00      2.00		    0    0    0    0    4   -1
     -0.34     -0.72      2.00		    2    0    0    0    0    5
      0.00      0.00      0.00		    2    2    0    0    0    1
      0.00      0.00      0.00		    0    2    2    0    0    0
      1.00      1.00      0.00		    0    0    2    2    0    0
      0.00      1.00      2.00		    0    0    0    2    2    0
      0.00      0.00      1.00		    3    0    0    0    2    2
      0.00      0.00      0.00		    1    4    0    0    0    2
      2.00      0.00      0.00		    0    1    5    0    0    0
      2.00      2.00      0.00		    0    1    0    0    0    0
      0.00      2.00      2.00		    0    0    1    0    1    0
      0.00      0.00      2.00		    2    0    0    1    0    2
      0.00      0.00      0.00		    2    2    0    0    1    0
      3.00      0.00      0.00		    0    2    2    0    0    1
      0.00      4.00      0.00		    0    0    2    2    0    0
      1.00      0.00      5.00		    0    0    0    2    2    0
      0.00      1.00      1.00		    0    0    0    0    2    2
      0.00      0.00      1.00		    1    1    0    0    0    2
      2.00      0.00      0.00		    1    1    2    0    0    0
      2.00      2.00      0.00		    0    1    1    3    0    0
      0.00      2.00      2.00		    0    0    1    1    4    0
      0.00      0.00      2.00		    2    0    0    1    1    5
     -0.28     -0.68     -0.72		    2    2    0    1    0    0
      0.00      0.00      1.07		    0    2    2    0    1    0
      0.00      1.00      0.31		   -0   -0    2    2    0    1
      0.00      0.00      2.00		   -0   -0   -1    2    2    0
      1.00      0.00      0.00		    3   -0   -1   -1    2    2
      0.00      1.00      0.00		    0    4   -1   -1   -1    2
      2.00      0.00      1.00		    0    0    5    0    0    0
      2.00      2.00      0.00		    1    0    1    0    0    0
      0.00      2.00      2.00		    0    1    0    1    1    0
      0.00      0.00      2.00		    2    0    1    0    1    2
      0.00      0.00      0.00		    2    2    0    1    0    1
      3.00     -0.05     -0.15		    0    2    2    0    1    0
      1.00      4.00      0.00		    0    0    2    2    0    1
      0.00      1.00      5.00		    0    0    0    2    2    0
      1.00      1.00      0.00		    0    0    0    0    2    2
      0.00      1.00      1.00		    0    1    0    0    0    2
      2.00      0.00      1.00		    1    0    2    0    0    0
      2.00      2.00      0.00		    1    1    0    3    0    0
      0.00      2.00      2.00		    0    1    1    0    4    0
      0.00      0.00      2.00		    2    0    1    1    0    5
      0.00      0.00      0.00		    2    2    0    1    1    1
      0.00      0.00      0.00		    0    2    2    0    1    1
      1.00      1.00      0.00		    0    0    2    2    0    1
      1.00      1.00      2.00		    0    0    0    2    2    0
      1.00      1.00      1.00		    3    0    0    0    2    2
      0.00      1.00      1.00		    1    4    0    0    0    2
      2.00      0.00      1.00		    1    1    5   -1   -1   -1
      2.00      2.00      0.00		    2    0    0    0   -0   -1
     -0.69      2.00      2.00		    0    2    0    0    1   11
     -0.53     -0.67      2.00		    2    0    2    0    0    2
      4.75     -0.56     -0.85		    2    2    0    2    0    0
      3.00     -0.50     -1.03		   -1    2    2    0    2    0
      0.00      4.00     -0.88		   -2   -1    2    2    0    2
      0.00      0.00      5.00		   -0    0    0    2    2    0
      2.00      0.00      1.00		    0    0    0    0    2    2
      0.00      2.00      0.00		    1    1    0    0    0    2
      2.00      0.00      2.00		    0    1    2    0    0    0
      2.00      2.00      0.00		    2    0    1    3   -0    0
      0.00      2.00      2.00		    0    2    0    1    4   -0
     -0.15     -0.15      2.00		    2    0    2    0    1    5
      0.00      0.00      0.00		    2    2    0    2    1    0
      0.00      0.00      0.00		    0    2    2    0    2    1
      0.00      1.00      0.00		    0    1    2    2    0    2
      1.00      0.00      2.00		    0   -0    0    2    2    0
      2.00      1.00      0.00		    3    0    0    0    2    2
      0.00      2.00      1.00		    0    4    0    0    0    2
      2.00      0.00      2.00		    1    0    5    0   -0   -0
      2.00      2.00      0.00		    2    1    1    0    0    0
      0.00      2.00      2.00		    0    2    1    1    1    0
      0.00      0.00      2.00		    2    0    2    1    1    2
      0.00      0.00      0.00		    2    2    0    2    1    1
      3.00     -0.37     -0.47		   -1    2    2    0    2    1
      1.00      4.00      0.00		    0    0    2    2    0    2
      1.00      1.00      5.00		   -0   -1   -1    2    2    0
      3.00      0.00      0.00		    0   -0    0    0    2    2
      0.00      3.00      0.00		    0    1    0   -0   -0    2
      2.00      0.00      3.00		    0    0    2   -0   -0   -0
      2.00      2.00      0.00		    3    0    0    3   -0   -0
     -0.45      2.00      2.00		    0    3    0    0    4   -0
     -0.15     -0.38      2.00		    2    0    3    0    0    5
      0.00      0.00      0.00		    2    2    0    3    0    1
      0.00      0.00      0.00		    0    2    2    0    3    0
      1.00      1.00      0.00		    0    0    2    2    0    3
      0.00      1.00      2.00		    0    0    0    2    2    0
      3.00      0.00      1.00		    3    0    0    0    2    2
      0.00      3.00      0.00		    1    4    0    0    0    2
      2.00      0.00      3.00		    0    1    5    0    0    0
      2.00      2.00      0.00		    3    1    0    0    0    0
      0.00      2.00      2.00		    0    3    1    0    1    0
      0.00      0.00      2.00		    2    0    3    1    0    2
      0.00      0.00      0.00		    2    2    0    3    1    0
      3.00      0.00      0.00		    0    2    2    0    3    1
      0.00      4.00      0.00		    0    0    2    2    0    3
      1.00      0.00      5.00		    0    0    0    2    2    0
      3.00      1.00      1.00		    0    0    0    0    2    2
      0.00      3.00      1.00		    1    1    0    0    0    2
      2.00      0.00      3.00		    1    1    2    0    0    0
      2.00      2.00      0.00		    3    1    1    3    0    0
      0.00      2.00      2.00		    0    3    1    1    4    0
      0.00      0.00      2.00		    2    0    3    1    1    5
      0.00      0.00      0.00		    2    2    1    0    0    0
      0.00     -0.31     -0.15		   -0    2    2    1    0    0
      0.00      1.00      0.00		    0    0    2    2    1    0
      0.00      0.00      2.00		    0    0    0    2    2    1
      0.00      0.00      0.00		    3   -0   -0   -0    2    2
      1.00      0.00      0.00		    0    4    0    0   -1    2
      2.00      1.00      0.00		    0    0    5    0    0    0
      2.00      2.00      1.00		    0    0    1    0    0    0
      0.00      2.00      2.00		    1    0    0    1    1    0
      0.00      0.00      2.00		    2    1    0    0    1    2
      0.00      0.00      0.00		    2    2    1    0    0    1
      3.00      0.00      0.00		    0    2    2    1    0    0
      1.00      4.00      0.00		    0    0    2    2    1    0
      0.00      1.00      5.00		    0    0    0    2    2    1
      0.00      1.00      0.00		    0    0    0    0    2    2
      1.00      0.00      1.00		    0    1    0    0    0    2
      2.00      1.00      0.00		    1    0    2    0    0    0
      2.00      2.00      1.00		    0    1    0    3    0    0
      0.00      2.00      2.00		    1    0    1    0    4    0
      0.00      0.00      2.00		    2    1    0    1    0    5
      0.00      0.00      0.00		    2    2    1    0    1    1
      0.00      0.00      0.00		    0    2    2    1    0    1
      1.00      1.00      0.00		    0    0    2    2    1    0
      1.00      1.00      2.00		    0    0    0    2    2    1
      0.00      1.00      1.00		    3    0    0    0    2    2
      1.00      0.00      1.00		    1    4    0    0    0    2
      2.00      1.00      0.00		    1    1    5   -1   -1   -1
      2.00      2.00      1.00		    1    0    0    0    1   -1
     -1.20      2.00      2.00		    1    1    0    0    1   -1
     -0.45     -0.68      2.00		    2    1    1    0    0    2
      2.64     -0.74     -0.90		    2    2    1    1    0    0
